iter	RMSE
0	14.03962222
1	13.0671489
2	12.17917321
3	11.40048623
4	10.84184641
5	10.2289157
6	9.659425034
7	9.153479028
8	8.750354593
9	8.338993721
10	7.974662033
11	7.650711579
12	7.391872604
13	7.177310735
14	6.949371056
15	6.743166974
16	6.573370549
17	6.413256271
18	6.273552445
19	6.152056371
20	6.054764926
21	5.969768155
22	5.874055878
23	5.802451756
24	5.736762027
25	5.679118782
26	5.622938565
27	5.570869218
28	5.517365611
29	5.477064551
30	5.444531559
31	5.403205958
32	5.363617385
33	5.336076022
34	5.296427876
35	5.270742885
36	5.249077356
37	5.228038076
38	5.201360841
39	5.174730988
40	5.160568885
41	5.141438819
42	5.118356708
43	5.09966516
44	5.093158538
45	5.070409434
46	5.0656164
47	5.046022322
48	5.028325355
49	5.015378145
50	4.984019672
51	4.967322541
52	4.942842545
53	4.921010842
54	4.904765761
55	4.888293017
56	4.869118136
57	4.840823873
58	4.817025078
59	4.79229481
60	4.767893964
61	4.747649109
62	4.729162039
63	4.713359302
64	4.689865636
65	4.677013943
66	4.661684161
67	4.647863902

