iter	Passed	Remaining
0	0	49
1	1	43
2	1	41
3	2	38
4	3	38
5	3	36
6	4	36
7	4	36
8	5	35
9	6	35
10	6	34
11	7	33
12	7	32
13	8	32
14	8	31
15	9	30
16	10	30
17	10	29
18	11	29
19	11	28
20	12	28
21	13	27
22	13	26
23	14	26
24	14	25
25	15	24
26	16	24
27	16	23
28	17	23
29	17	22
30	18	21
31	18	21
32	19	20
33	19	19
34	20	19
35	21	18
36	21	18
37	22	17
38	22	17
39	23	16
40	23	15
41	24	15
42	25	14
43	25	13
44	25	13
45	26	12
46	26	11
47	27	11
48	27	10
49	28	10
50	28	9
51	29	9
52	30	8
53	30	7
54	31	7
55	31	6
56	32	6
57	33	5
58	33	5
59	34	4
60	34	4
61	35	3
62	36	2
63	36	2
64	37	1
65	37	1
66	38	0
67	38	0

